   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.199    1.199 <string>:1(<module>)
        3    0.000    0.000    0.001    0.000 __init__.py:1139(info)
        3    0.000    0.000    0.000    0.000 __init__.py:1215(findCaller)
        3    0.000    0.000    0.000    0.000 __init__.py:1236(makeRecord)
        3    0.000    0.000    0.001    0.000 __init__.py:1249(_log)
        3    0.000    0.000    0.000    0.000 __init__.py:1270(handle)
        3    0.000    0.000    0.000    0.000 __init__.py:1302(callHandlers)
        1    0.229    0.229    0.838    0.838 __init__.py:132(resample)
        3    0.000    0.000    0.000    0.000 __init__.py:1328(getEffectiveLevel)
        3    0.000    0.000    0.000    0.000 __init__.py:1342(isEnabledFor)
        3    0.000    0.000    0.000    0.000 __init__.py:153(getLevelName)
        1    0.002    0.002    0.840    0.840 __init__.py:237(shuffle)
        3    0.000    0.000    0.000    0.000 __init__.py:242(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:311(getMessage)
        3    0.000    0.000    0.000    0.000 __init__.py:404(formatTime)
        3    0.000    0.000    0.000    0.000 __init__.py:445(usesTime)
        3    0.000    0.000    0.000    0.000 __init__.py:451(format)
        6    0.000    0.000    0.000    0.000 __init__.py:598(filter)
        6    0.000    0.000    0.000    0.000 __init__.py:693(acquire)
        6    0.000    0.000    0.000    0.000 __init__.py:700(release)
        3    0.000    0.000    0.000    0.000 __init__.py:713(format)
        3    0.000    0.000    0.000    0.000 __init__.py:736(handle)
        3    0.000    0.000    0.000    0.000 __init__.py:81(<lambda>)
        3    0.000    0.000    0.000    0.000 __init__.py:828(flush)
        3    0.000    0.000    0.000    0.000 __init__.py:839(emit)
       51    0.003    0.000    0.003    0.000 _k_means.pyx:244(_centers_dense)
      747    0.001    0.000    0.038    0.000 _methods.py:23(_sum)
        3    0.000    0.000    0.000    0.000 _methods.py:39(_count_reduce_items)
        2    0.000    0.000    0.000    0.000 _methods.py:49(_mean)
        1    0.000    0.000    0.000    0.000 _methods.py:73(_var)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       47    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       23    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
        2    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
     1195    0.001    0.000    0.001    0.000 base.py:631(isspmatrix)
        1    0.042    0.042    1.156    1.156 color.py:127(Reduce_scikit_kmeans)
       10    0.000    0.000    0.000    0.000 color.py:150(Hex_from_array)
       12    0.000    0.000    0.000    0.000 color.py:154(Hex)
        1    0.000    0.000    0.000    0.000 color.py:28(Background_from_kmeans_reduced_result)
        4    0.000    0.000    0.000    0.000 color.py:61(Basic_color_info)
        1    0.008    0.008    1.178    1.178 color.py:89(Matrix_scikit_kmeans)
        2    0.000    0.000    0.000    0.000 color.py:9(ms)
      102    0.000    0.000    0.056    0.001 extmath.py:168(safe_sparse_dot)
      104    0.000    0.000    0.015    0.000 extmath.py:54(row_norms)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:122(reshape)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1370(nonzero)
       52    0.000    0.000    0.001    0.000 fromnumeric.py:1621(sum)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2632(mean)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2819(var)
       40    0.000    0.000    0.000    0.000 fromnumeric.py:952(searchsorted)
        3    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        1    0.000    0.000    0.000    0.000 k_means_.py:142(_tolerance)
        1    0.000    0.000    0.038    0.038 k_means_.py:151(k_means)
       10    0.001    0.000    0.037    0.004 k_means_.py:297(_kmeans_single)
